,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
10453,168.79266666666663,391.0842857142857,419.898064516129,281.68433333333337,279.09741935483885,216.57200000000003,218.9022580645162,200.86999999999998,194.7027586206896,173.7538709677419,389.265,469.67483870967726,255.19580645161287,460.2132142857141,589.5570967741937,381.19133333333326,336.19548387096773,276.9233333333333,305.06354838709694,335.5316129032258,292.93600000000004,234.26225806451606,343.6913793103448,673.9448387096775,415.1180645161291,819.8124999999998,792.25,409.70666666666665,392.4783870967742,338.35900000000004,413.78516129032255,451.00548387096774,343.5736666666668,414.7232258064515,579.4133333333333,961.9693548387096,363.80967741935495,650.6486206896553,761.0767741935483,1637.0050000000003,1619.245,1566.973783783784,1070.2848648648649,879.6707407407409
10457,218.79322580645163,387.1839285714286,454.21000000000015,308.42071428571427,217.20233333333323,198.27285714285716,202.56699999999995,226.21166666666664,187.10099999999997,194.8916666666667,341.94833333333344,553.7535483870967,291.622,558.145,419.5748387096774,495.1913333333332,206.7493548387097,174.86366666666672,296.1783870967742,239.395806451613,174.46666666666673,255.02766666666665,305.7636666666667,626.4329999999995,277.0925806451613,467.7225,550.344193548387,342.7929999999999,295.5225806451613,254.26833333333337,290.30266666666665,322.2154838709678,388.1610000000001,333.17709677419367,502.352,820.9112903225806,274.7458064516129,693.8975862068962,779.7822580645159,1636.233714285714,1438.340344827586,1255.147837837838,1123.2545945945944,580.2288888888888
10460,137.85793103448276,309.1644444444445,384.4709677419355,221.7414285714286,225.8563333333333,186.77137931034477,137.808,120.89419354838714,147.1385714285714,109.7925,259.11714285714294,355.8864516129031,151.51566666666665,398.1996153846154,360.88,210.6278571428571,295.5742857142858,245.13931034482758,184.53499999999997,273.41451612903234,241.4268965517241,212.80566666666667,341.281,466.9477419354838,226.62099999999992,504.1517857142856,460.84709677419363,289.34733333333327,244.35666666666668,300.0393333333333,230.01800000000003,274.7232258064517,293.0423333333334,302.16677419354835,467.7203333333333,697.5661290322578,336.4145161290322,570.3324137931036,659.4135483870965,1412.236142857143,1287.919482758621,1098.022162162162,931.1040540540542,532.1159259259259
10458,141.29037037037037,231.20703703703697,365.27699999999993,242.22571428571433,201.7580000000001,182.33344827586205,221.809,182.60392857142855,201.33107142857142,161.12793103448277,283.95241379310346,412.19612903225806,191.91666666666663,492.9057142857144,375.73354838709685,333.0858620689655,255.96655172413787,192.55233333333337,224.54333333333335,237.48451612903224,189.51896551724136,205.4058064516129,294.77033333333327,587.3306451612902,203.40806451612906,332.9353571428571,517.8119354838708,454.72299999999996,312.6274193548387,273.2123333333333,327.4856666666668,345.98387096774195,334.576,335.14387096774186,395.0093333333333,697.044838709677,202.1474193548387,494.12931034482773,732.7303225806455,1409.6987142857142,1235.247931034483,1266.2516216216213,873.6589189189186,627.0011111111112
10467,153.07321428571433,335.94964285714286,311.48733333333337,201.46607142857147,269.50586206896554,187.80999999999997,183.05285714285716,171.393870967742,180.04,164.15633333333335,267.2679310344828,400.22354838709686,143.2729032258065,395.3700000000001,389.56870967741935,193.416,201.97793103448274,197.03133333333332,215.59399999999997,196.78870967741935,265.19310344827585,169.06193548387094,315.0226666666667,540.3948387096773,216.9476666666666,450.46642857142854,462.94838709677424,268.4862068965517,291.15580645161276,318.1433333333333,297.55483870967737,276.1332258064516,277.15133333333335,317.1206451612903,380.5986666666667,732.9764516129032,235.02903225806455,458.42655172413794,475.8154838709678,1160.5720000000006,1136.6456896551724,957.4024324324324,733.4581081081081,352.3244444444444
10468,179.72964285714284,296.36892857142857,394.99166666666673,393.3068965517239,231.0832258064516,234.99793103448275,206.99999999999997,223.1867741935484,230.7986666666667,233.21580645161282,291.84666666666664,379.6103225806453,226.85322580645166,419.86499999999995,338.7219354838709,210.43833333333333,279.5054838709677,362.78200000000004,265.55741935483866,389.7812903225804,314.152,293.00258064516123,545.0150000000001,525.7116129032258,332.33935483870977,411.7875,625.1383870967742,461.1449999999999,371.47612903225814,456.107,421.8958064516128,358.2374193548388,310.9996666666666,299.89064516129037,476.30413793103446,657.8403225806453,213.77166666666668,603.509655172414,635.3464516129035,1201.2461428571437,1145.111206896552,996.9924324324322,692.0091891891892,489.2711111111111
10451,148.41633333333328,320.0832142857143,304.4364516129033,249.73214285714292,302.34166666666675,215.77100000000007,219.06866666666673,148.07533333333333,218.329,175.7393548387097,296.8196666666667,418.51870967741905,212.838064516129,503.63642857142867,450.17322580645157,272.5433333333333,327.2874193548388,320.6773333333336,246.99741935483874,308.3470967741935,288.15233333333333,293.856129032258,411.4556666666666,604.755483870968,320.678064516129,487.23714285714294,490.8958064516129,300.3863333333333,298.86838709677426,282.8656666666667,320.6400000000001,340.16806451612894,288.48333333333335,335.7445161290323,396.04633333333317,777.9516129032259,301.5754838709677,559.1865517241379,756.2548387096773,1122.1982857142855,1152.1822413793104,878.4002702702702,701.7516216216216,474.3307407407407
10452,204.904,388.8170370370369,358.30032258064534,288.20733333333345,240.49733333333336,214.97433333333336,171.39354838709676,215.16935483870964,221.33233333333337,239.42699999999996,305.6073333333334,421.33032258064515,269.22903225806454,629.0207142857143,530.181935483871,375.1849999999999,342.3938709677418,287.62433333333325,264.7509677419355,303.03774193548395,274.89500000000004,396.67709677419356,590.3616666666665,678.0003225806453,354.6412903225807,735.5160714285713,685.0941935483868,449.2851724137929,454.5941935483871,390.5133333333334,353.20516129032256,384.90193548387094,300.3233333333333,342.8174193548387,477.54699999999985,670.4312903225806,294.52838709677417,636.6644827586207,899.4354838709676,1447.754,1374.6263793103449,1078.3940540540545,862.6767567567567,504.16370370370373
10456,211.2203333333333,596.1524999999999,533.0716129032259,329.80633333333327,306.97096774193545,310.71862068965527,328.1993548387095,319.0716129032259,335.49899999999985,293.20999999999987,437.17266666666666,606.2593548387096,317.2838709677419,662.5625925925925,653.910322580645,528.1536666666666,403.60000000000014,369.08066666666673,297.4580645161291,458.739677419355,353.4723333333333,275.14354838709676,432.2753333333334,753.3848387096772,348.0861290322581,776.0614285714288,971.1425806451613,565.4106896551723,378.72096774193545,484.87099999999987,460.5096774193549,542.4003225806451,533.3096666666665,535.9509677419354,731.3346666666667,1376.0538709677421,512.8054838709678,1075.6279310344826,1036.8238709677416,2143.918714285714,2104.3777586206893,1535.9235135135132,1162.3694594594594,642.2414814814812
10454,100.55409090909089,187.59759999999997,284.86096774193544,155.76586206896553,147.48959999999997,147.9366666666667,148.64413793103446,126.11620689655174,100.10037037037034,124.6875862068966,185.21962962962965,329.1274193548387,163.21586206896555,492.6020000000001,288.43300000000005,187.1533333333333,265.274193548387,235.25333333333344,207.098,211.62035714285713,181.08517241379306,182.50290322580636,294.2613333333335,449.7706451612903,239.6146666666667,418.15964285714284,545.6212903225808,292.6668965517241,272.261935483871,277.81466666666677,236.37903225806443,260.58322580645154,199.2293333333333,249.5106451612903,369.9586666666667,566.7325806451613,293.622258064516,553.6024137931034,592.9745161290318,1168.388428571429,1134.9922413793104,858.2135135135136,507.34837837837836,382.7880769230769
10455,102.29541666666667,230.98296296296292,185.5732258064516,160.6413333333333,199.48,166.19913043478257,143.46838709677414,139.9807407407407,147.47,132.90516129032258,210.3172413793103,327.434193548387,167.48103448275864,243.18035714285716,374.3787096774193,173.04039999999998,211.14518518518523,222.77592592592595,181.0144827586207,135.76322580645157,166.09034482758622,167.80032258064514,302.7520689655173,430.24322580645156,132.50266666666667,368.3975000000001,357.49580645161274,263.02862068965516,134.19074074074075,313.14241379310334,215.43000000000004,239.95785714285716,233.9935714285714,221.03387096774196,273.07899999999995,548.7906451612905,189.1325806451613,538.0439285714285,667.1538709677416,1060.1634285714283,1064.1962068965515,916.8110810810809,538.0124324324327,587.7633333333332
10459,147.62137931034488,259.6488461538462,217.41903225806445,177.77120000000002,175.2303448275862,164.45444444444445,145.5792592592593,163.26724137931038,101.07269230769232,132.23322580645157,190.28966666666668,356.76419354838697,149.72482758620689,371.0089285714285,349.3551612903226,257.7060714285714,255.25516129032243,239.43103448275866,221.80899999999994,248.28464285714293,225.22678571428563,198.6096551724139,385.12033333333324,524.4403225806452,237.66451612903228,326.30518518518517,528.798387096774,283.67,301.50451612903214,278.2363333333334,335.813870967742,335.87548387096774,343.59166666666687,336.92645161290335,361.7133333333332,722.5703225806452,260.7535483870967,622.408275862069,751.1258064516128,1161.4715714285721,1353.821206896551,772.4102702702703,868.8813513513512,540.5951851851852
10474,69.07999999999998,100.42150000000004,155.61269230769238,95.30346153846156,117.53533333333333,82.82304347826089,73.79235294117646,65.40615384615384,52.88133333333333,55.819375,81.06266666666664,101.08181818181819,95.09450000000001,195.25842105263155,170.0985714285714,110.15555555555555,56.81904761904762,76.70823529411764,119.95058823529412,89.06105263157895,92.23235294117647,73.15687500000001,102.12937499999998,164.66392857142858,92.88571428571429,185.69,147.794,135.91750000000002,104.30695652173917,64.43375,66.16649999999998,112.90450000000001,67.98888888888891,79.2457142857143,98.7777777777778,220.69862068965512,43.98782608695653,195.70678571428567,132.8716666666667,439.92191176470607,408.00870370370365,189.00166666666667,160.44472222222223,221.27434782608697
10463,189.17333333333332,365.21607142857135,280.0025806451614,212.52,213.30806451612904,240.7196666666667,204.4487096774193,204.75709677419349,191.0496666666667,176.63870967741943,209.65933333333334,350.3312903225806,219.8077419354839,365.9271428571428,424.8458064516129,288.95733333333334,275.60451612903233,294.2106666666667,295.1112903225806,249.57387096774184,277.8916666666666,220.78129032258062,287.50933333333336,477.75,336.9112903225807,485.1253571428571,542.476129032258,460.0736666666667,372.8596774193548,437.8573333333333,379.5045161290323,397.9,339.78800000000007,453.77935483870976,500.3693333333334,578.1196774193548,318.89903225806466,601.0337931034483,764.5996774193546,981.0885714285712,855.2025862068964,939.5172972972973,705.7186486486487,406.5666666666667
10471,21.98,55.07500000000001,55.14000000000001,99.69000000000001,86.787,78.29100000000001,52.55214285714286,90.02166666666666,44.230000000000004,65.38764705882353,75.51333333333334,104.02999999999999,47.77444444444445,77.53800000000001,71.13454545454546,34.95666666666667,45.96,55.307500000000005,63.625,60.17428571428571,54.864285714285714,42.52428571428571,34.776923076923076,56.568,30.40375,34.81166666666667,68.46249999999999,54.73749999999999,44.67583333333334,26.80333333333333,50.449999999999996,27.036923076923078,63.07777777777778,50.589166666666664,36.97375,69.8285,70.4621052631579,44.53454545454545,74.89333333333335,126.49941176470584,186.98142857142855,108.37333333333332,112.73428571428572,124.12166666666667
10466,185.55724137931037,250.64714285714282,273.59599999999995,176.84758620689658,156.16629629629628,121.5772,141.99419354838713,143.49483870967742,119.66766666666668,174.48774193548385,203.3471428571429,288.5806451612903,223.14299999999994,345.16142857142864,346.64322580645165,207.29800000000012,185.52161290322576,214.82517241379304,206.55483870967748,193.64516129032256,245.74103448275864,163.9306666666667,265.6696551724139,375.9993548387097,203.30645161290317,279.19464285714287,408.5596774193549,307.89933333333335,217.5877419354839,237.28000000000006,263.6636666666667,196.70354838709676,201.8013333333333,268.5606451612904,398.75896551724134,667.9480645161289,223.20612903225802,464.5596551724139,611.7512903225808,999.5344285714284,989.7841379310344,894.3270270270272,591.5956756756758,319.7892592592593
