,2017,2018,2019,2020
10453,4098,5220,7412,6592
10457,3846,4138,5790,6069
10460,2826,3500,5148,5117
10458,2942,4032,5366,5521
10467,3320,3416,5408,4676
10468,3986,4710,6086,4443
10451,3732,5292,5666,5008
10452,3952,6190,7008,5603
10456,5230,6300,9110,8018
10454,2276,3742,4832,4692
10455,2354,2992,3598,4484
10459,2306,3702,5332,5088
10474,836,932,1460,1450
10463,4182,5566,8204,5399
10471,342,276,344,293
10466,2844,3702,4950,4295
10469,1502,2236,2966,2535
10470,342,440,550,571
10475,704,928,1382,1123
10461,966,1686,2332,1665
10462,1842,2500,3152,3125
10464,70,154,222,181
10465,2384,2568,3538,2381
10472,2318,3346,4630,3630
10473,2798,4264,5174,4497
11212,6504,8594,10742,10122
11213,4236,5004,6190,4569
11216,2914,3098,3450,2799
11233,5844,7510,7672,6064
11238,2292,2724,3400,3087
11209,464,626,842,845
11214,416,530,1318,648
11228,252,636,438,304
11204,276,612,1192,948
11218,934,932,1198,629
11219,424,582,782,605
11230,772,1378,2258,1554
11234,2594,3170,3644,2971
11236,3920,4948,7544,5276
11239,698,1006,1376,1293
11223,720,748,1164,1271
11224,1852,1786,2232,2034
11229,1008,1364,2098,1651
11235,584,596,790,659
11201,1868,2392,4086,3328
11205,2532,3358,3614,3242
11215,534,566,826,715
11217,2402,3264,4740,4132
11231,1004,1588,2512,2152
11203,2826,3354,4428,3964
11210,3728,4822,6808,4575
11225,2856,3456,4516,3503
11226,5142,6220,7884,6265
11207,7030,11116,13382,9697
11208,5240,7720,8702,6710
11211,590,684,1090,1311
11222,254,374,460,397
11220,1240,1556,1434,892
11232,816,766,632,631
11206,2566,3900,5058,4996
11221,3280,4652,6092,4953
11237,734,936,1860,1512
10026,1306,2386,2354,2251
10027,2242,3210,3806,3947
10030,1316,2298,4182,3321
10037,1282,1494,1716,2022
10039,1706,2626,3636,2979
10001,354,602,1284,1445
10011,268,462,670,718
10018,110,206,384,202
10019,384,806,968,784
10020,0,0,0,2
10036,328,530,934,720
10029,4890,6812,9754,8977
10035,3316,4256,6066,5945
10010,160,212,516,461
10016,268,438,1344,1192
10017,82,74,88,121
10022,154,92,174,106
10012,64,28,128,145
10013,214,330,682,340
10014,164,260,474,206
10004,48,46,80,126
10005,64,124,164,111
10006,128,74,166,74
10007,212,276,314,250
10038,202,372,710,935
10280,40,40,32,56
10002,1062,2742,6014,5248
10003,372,422,1156,487
10009,710,1950,4836,3579
10021,104,100,306,296
10028,124,144,218,225
10044,44,90,100,114
10065,176,82,90,86
10075,32,74,142,189
10128,314,586,950,1248
10023,174,234,468,591
10024,256,442,508,392
10025,1286,1542,2036,2027
10031,1654,2288,2764,2021
10032,1334,1730,2304,1990
10033,800,686,1248,1156
10034,1120,1010,1574,1340
10040,1084,1232,1578,1412
11361,206,214,300,214
11362,74,50,56,55
11363,20,10,20,48
11364,244,150,192,226
11354,1366,2350,2466,1357
11355,570,692,1158,895
11356,920,920,1212,624
11357,382,288,388,257
11358,368,442,574,376
11359,0,0,0,0
11360,80,96,88,73
11365,590,686,1058,728
11366,66,114,82,69
11367,494,724,976,867
11412,1210,1580,1444,1148
11423,706,416,756,691
11432,526,518,956,944
11433,1468,1514,1414,1593
11434,2266,3034,3982,2834
11435,888,1120,1432,1515
11436,408,722,742,559
11101,734,1158,1688,1815
11102,628,688,884,907
11103,210,210,346,395
11104,154,158,204,172
11105,134,212,446,355
11106,436,416,658,761
11374,290,412,538,427
11375,594,846,1562,1109
11379,210,228,456,528
11385,972,1250,1542,1423
11691,1520,1870,2342,2162
11692,826,1102,1266,1081
11693,260,394,402,361
11694,174,164,216,211
11695,0,0,0,0
11697,4,0,12,15
11004,24,10,52,29
11005,0,0,0,1
11411,536,396,1410,638
11413,1252,1464,1544,1088
11422,1852,1632,2042,1439
11426,98,90,280,129
11427,220,196,414,277
11428,130,272,276,229
11429,712,628,1040,800
11414,232,246,310,365
11415,192,216,358,164
11416,270,306,466,417
11417,366,390,428,394
11418,378,682,852,717
11419,386,368,416,454
11420,534,942,1064,777
11421,450,622,758,459
11368,2416,2756,3640,2831
11369,948,864,998,723
11370,174,256,402,172
11372,546,754,896,612
11373,1768,2384,3148,1864
11377,600,872,1778,1062
11378,308,456,490,377
10302,924,1020,1106,991
10303,1802,1532,1976,2296
10310,968,1352,1084,1380
10306,1002,1508,1334,909
10307,504,684,684,382
10308,336,642,1060,564
10309,1192,1230,1452,991
10312,1236,1350,1546,1107
10301,1434,1804,1604,1901
10304,1066,1480,2136,2255
10305,628,728,918,790
10314,2180,2396,2818,1996
