,2017,2018,2019,2020
10453,3014,2942,3252,1850
10457,3320,3292,4016,2027
10460,3892,4156,4920,2244
10458,3276,3170,3762,1864
10467,3428,3358,3786,2186
10468,2352,2342,2736,1457
10451,1542,1676,1766,1137
10452,2622,2772,2828,1797
10456,3978,3554,4624,2709
10454,1654,1714,1774,1130
10455,1732,1886,2194,1549
10459,2582,2620,2678,1472
10474,578,716,684,480
10463,1630,1260,1740,980
10471,178,136,148,107
10466,3126,3772,4054,2006
10469,2292,2208,2464,1479
10470,388,486,552,306
10475,1132,1182,1114,565
10461,858,1094,1334,567
10462,2014,2500,2960,1269
10464,80,80,46,21
10465,1224,1106,1354,687
10472,2610,2766,3280,1409
10473,2574,2400,2902,1440
11212,4420,5490,6202,3343
11213,2286,2122,2792,1469
11216,1540,1766,1906,958
11233,3288,3390,4246,2156
11238,996,1002,1174,604
11209,506,476,512,215
11214,806,626,836,302
11228,370,262,360,196
11204,486,478,432,232
11218,636,582,578,386
11219,476,508,440,210
11230,718,710,884,550
11234,1328,1648,2328,979
11236,2880,2738,3476,2002
11239,630,656,664,393
11223,588,752,940,588
11224,1428,1584,2022,866
11229,1176,1184,1234,701
11235,976,680,800,502
11201,718,912,1256,495
11205,1022,1050,1234,669
11215,316,258,304,180
11217,632,770,904,523
11231,746,860,1218,665
11203,2382,2202,3064,1423
11210,1128,1166,1176,798
11225,1630,1526,1986,1065
11226,3260,3740,4540,1906
11207,4900,4780,5698,2958
11208,3412,3160,3974,2186
11211,776,646,936,338
11222,234,224,304,187
11220,804,726,788,389
11232,398,316,446,280
11206,2130,2708,2874,1626
11221,2434,2716,3504,1798
11237,920,876,978,510
10026,864,928,902,771
10027,1428,1500,2244,1073
10030,908,976,1370,777
10037,712,798,836,515
10039,980,1048,1388,852
10001,578,520,904,481
10011,244,328,376,194
10018,140,114,126,77
10019,428,450,660,230
10020,0,0,0,0
10036,516,476,448,206
10029,2004,2048,2444,1429
10035,1024,1032,1166,818
10010,184,134,204,76
10016,370,406,404,209
10017,112,94,98,85
10022,304,162,166,66
10012,74,64,64,43
10013,96,80,82,24
10014,134,184,248,75
10004,104,70,40,50
10005,84,86,106,18
10006,28,26,26,8
10007,50,10,42,27
10038,216,196,312,162
10280,4,2,14,20
10002,1030,962,1228,607
10003,220,162,216,141
10009,682,734,918,585
10021,64,76,114,72
10028,178,180,258,79
10044,124,116,122,22
10065,102,94,176,61
10075,22,52,90,66
10128,422,440,492,187
10023,318,268,350,344
10024,466,450,452,185
10025,1574,1562,2082,910
10031,1440,1188,1402,700
10032,1470,1248,1212,564
10033,588,552,680,297
10034,632,710,794,445
10040,710,800,828,473
11361,294,122,266,118
11362,58,52,108,72
11363,6,20,12,15
11364,234,284,272,127
11354,466,510,612,405
11355,434,364,584,278
11356,452,400,408,156
11357,306,266,294,228
11358,374,366,230,193
11359,0,0,0,0
11360,74,44,28,70
11365,454,524,664,326
11366,156,92,114,66
11367,768,564,688,452
11412,1322,1580,1306,588
11423,632,490,576,336
11432,874,568,706,389
11433,1106,1144,1140,836
11434,2322,2522,2454,1217
11435,1002,970,1006,638
11436,602,470,568,316
11101,808,858,978,485
11102,510,478,498,348
11103,204,178,170,104
11104,268,148,308,147
11105,178,232,304,174
11106,494,736,672,392
11374,228,264,310,171
11375,394,342,424,248
11379,332,200,238,205
11385,1298,1206,1282,715
11691,1728,1682,2142,1077
11692,690,816,1040,572
11693,254,298,476,207
11694,246,182,310,265
11695,0,0,0,0
11697,4,14,4,12
11004,68,88,88,49
11005,0,0,0,9
11411,578,510,632,324
11413,1444,1316,1226,625
11422,810,810,904,433
11426,102,92,210,112
11427,280,270,312,143
11428,226,236,238,106
11429,578,598,564,314
11414,330,446,322,159
11415,90,120,198,108
11416,322,314,376,181
11417,466,414,350,213
11418,416,430,494,276
11419,578,422,432,364
11420,734,894,950,506
11421,586,578,554,301
11368,2218,2256,2300,959
11369,868,834,762,476
11370,288,236,338,209
11372,498,726,924,390
11373,790,718,1000,367
11377,776,800,1144,496
11378,398,322,390,177
10302,1250,1302,1440,715
10303,2644,2618,2958,1332
10310,1222,1150,1394,703
10306,964,1038,1330,699
10307,218,144,188,89
10308,432,412,444,191
10309,436,418,564,284
10312,756,750,794,384
10301,1834,2142,1882,966
10304,1588,1768,2014,1164
10305,776,1110,1286,803
10314,2266,2226,2484,1260
